rank,title,titles0,link,score,score_cnt,account,comment
1,肖申克的救赎,/The Shawshank Redemption,https://movie.douban.com/subject/1292052/,9.7,3003467人评价,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...1994/美国/犯罪剧情,希望让人自由。
2,霸王别姬,/再见，我的妾  /  Farewell My Concubine,https://movie.douban.com/subject/1291546/,9.6,2219196人评价,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...1993/中国大陆中国香港/剧情爱情同性,风华绝代。
3,阿甘正传,/Forrest Gump,https://movie.douban.com/subject/1292720/,9.5,2237843人评价,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks/...1994/美国/剧情爱情,一部美国近现代史。
4,泰坦尼克号,/Titanic,https://movie.douban.com/subject/1292722/,9.5,2275843人评价,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...1997/美国墨西哥/剧情爱情灾难,失去的才是永恒的。 
5,千与千寻,/千と千尋の神隠し,https://movie.douban.com/subject/1291561/,9.4,2321401人评价,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...2001/日本/剧情动画奇幻,最好的宫崎骏，最好的久石让。 
6,这个杀手不太冷,/Léon,https://movie.douban.com/subject/1295644/,9.4,2367836人评价,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...1994/法国美国/剧情动作犯罪,怪蜀黍和小萝莉不得不说的故事。
7,美丽人生,/La vita è bella,https://movie.douban.com/subject/1292063/,9.5,1370345人评价,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...1997/意大利/剧情喜剧爱情战争,最美的谎言。
8,星际穿越,/Interstellar,https://movie.douban.com/subject/1889243/,9.4,1937181人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...2014/美国英国加拿大/剧情科幻冒险,爱是一种力量，让我们超越时空感知它的存在。
9,盗梦空间,/Inception,https://movie.douban.com/subject/3541415/,9.4,2141444人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...2010/美国英国/剧情科幻悬疑冒险,诺兰给了我们一场无法盗取的梦。
10,辛德勒的名单,/Schindler's List,https://movie.douban.com/subject/1295124/,9.5,1157902人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...1993/美国/剧情历史战争,拯救一个人，就是拯救整个世界。
11,楚门的世界,/The Truman Show,https://movie.douban.com/subject/1292064/,9.4,1793959人评价,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey/劳拉·琳妮Lau...1998/美国/剧情科幻,如果再也不能见到你，祝你早安，午安，晚安。
12,忠犬八公的故事,/Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,9.4,1438554人评价,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...2009/美国英国/剧情,永远都不能忘记你所爱的人。
13,海上钢琴师,/La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,9.3,1732162人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth/...1998/意大利/剧情音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,三傻大闹宝莱坞,/3 Idiots,https://movie.douban.com/subject/3793023/,9.2,1920714人评价,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...2009/印度/剧情喜剧爱情歌舞,英俊版憨豆，高情商版谢耳朵。
15,放牛班的春天,/Les choristes,https://movie.douban.com/subject/1291549/,9.3,1359284人评价,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:让-巴蒂斯特·莫尼...2004/法国瑞士德国/剧情音乐,天籁一般的童声，是最接近上帝的存在。 
16,机器人总动员,/WALL·E,https://movie.douban.com/subject/2131459/,9.3,1363301人评价,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...2008/美国/科幻动画冒险,小瓦力，大人生。
17,疯狂动物城,/Zootopia,https://movie.douban.com/subject/25662329/,9.2,2029289人评价,导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore主演:金妮弗·...2016/美国/喜剧动画冒险,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
18,无间道,/無間道,https://movie.douban.com/subject/1307914/,9.3,1422496人评价,导演:刘伟强/麦兆辉主演:刘德华AndyLau/梁朝伟TonyLeungChiuW...2002/中国香港/剧情犯罪惊悚,香港电影史上永不过时的杰作。
19,控方证人,/Witness for the Prosecution,https://movie.douban.com/subject/1296141/,9.6,604016人评价,导演:比利·怀尔德BillyWilder主演:泰隆·鲍华TyronePower/玛琳·...1957/美国/剧情犯罪悬疑,比利·怀德满分作品。
20,大话西游之大圣娶亲,/西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/,9.2,1583931人评价,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/中国香港中国大陆/喜剧爱情奇幻古装,一生所爱。
21,熔炉,/도가니,https://movie.douban.com/subject/5912992/,9.4,963120人评价,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong/郑有美Yu-miJung/...2011/韩国/剧情,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
22,教父,/The Godfather,https://movie.douban.com/subject/1291841/,9.3,1006795人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...1972/美国/剧情犯罪,千万不要记恨你的对手，这样会让你失去理智。
23,触不可及,/Intouchables,https://movie.douban.com/subject/6786002/,9.3,1167763人评价,导演:奥利维·那卡什OlivierNakache/艾力克·托兰达EricToledano主...2011/法国/剧情喜剧,满满温情的高雅喜剧。
24,当幸福来敲门,/The Pursuit of Happyness,https://movie.douban.com/subject/1849031/,9.2,1569232人评价,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...2006/美国/剧情传记家庭,平民励志片。 
25,寻梦环游记,/Coco,https://movie.douban.com/subject/20495023/,9.1,1761699人评价,导演:李·昂克里奇LeeUnkrich/阿德里安·莫利纳AdrianMolina主演:...2017/美国/喜剧动画奇幻音乐,死亡不是真的逝去，遗忘才是永恒的消亡。
26,末代皇帝,/The Last Emperor,https://movie.douban.com/subject/1293172/,9.3,927312人评价,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone/陈...1987/英国意大利中国大陆法国/剧情传记历史,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
27,龙猫,/となりのトトロ,https://movie.douban.com/subject/1291560/,9.2,1307920人评价,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka/坂本千夏Ch...1988/日本/动画奇幻冒险,人人心中都有个龙猫，童年就永远不会消失。
28,怦然心动,/Flipped,https://movie.douban.com/subject/3319755/,9.1,1895613人评价,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll/卡...2010/美国/剧情喜剧爱情,真正的幸福是来自内心深处。
29,活着,/人生  /  Lifetimes,https://movie.douban.com/subject/1292365/,9.3,883292人评价,导演:张艺谋YimouZhang主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994/中国大陆中国香港/剧情历史家庭,张艺谋最好的电影。
30,哈利·波特与魔法石,/Harry Potter and the Sorcerer's Stone,https://movie.douban.com/subject/1295038/,9.2,1250431人评价,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint2001/美国英国/奇幻冒险,童话世界的开端。
31,蝙蝠侠：黑暗骑士,/The Dark Knight,https://movie.douban.com/subject/1851857/,9.2,1101520人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...2008/美国英国/剧情动作科幻犯罪惊悚,无尽的黑暗。
32,指环王3：王者无敌,/The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/1291552/,9.3,834935人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2003/美国新西兰/剧情动作奇幻冒险,史诗的终章。
33,我不是药神,/中国药神  /  印度药神,https://movie.douban.com/subject/26752088/,9.0,2178891人评价,导演:文牧野MuyeWen主演:徐峥ZhengXu/王传君ChuanjunWang/周...2018/中国大陆/剧情喜剧,对我们国家而言，这样的电影多一部是一部。
34,乱世佳人,/Gone with the Wind,https://movie.douban.com/subject/1300267/,9.3,717870人评价,导演:维克多·弗莱明VictorFleming/乔治·库克GeorgeCukor主演:费...1939/美国/剧情历史爱情战争,Tomorrow is another day.
35,飞屋环游记,/Up,https://movie.douban.com/subject/2129039/,9.1,1376456人评价,导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...2009/美国/剧情喜剧动画冒险,最后那些最无聊的事情，才是最值得怀念的。 
36,素媛,/소원,https://movie.douban.com/subject/21937452/,9.3,713699人评价,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013/韩国/剧情,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
